Area,Bedrooms,Bathrooms,Floors,Parking,Age,Location,Price
1252,5,5.0,3,1.0,9.0,Bangalore,9634000.0
2079,5,4.0,1,,6.0,Delhi,23797000.0
2443,5,4.0,3,1.0,0.0,Mumbai,42380000.0
1022,5,4.0,2,0.0,9.0,Delhi,10019000.0
1891,6,6.0,2,2.0,13.0,Chennai,10064000.0
626,2,1.0,1,1.0,0.0,Mumbai,10222000.0
1968,5,5.0,3,0.0,13.0,Chennai,13816000.0
2151,5,5.0,1,1.0,14.0,Chennai,10931000.0
930,3,3.0,3,1.0,6.0,Hyderabad,5611000.0
1541,2,2.0,1,1.0,5.0,Hyderabad,8083000.0
901,3,3.0,1,0.0,7.0,Pune,6192000.0
1533,5,5.0,1,0.0,10.0,Pune,12262000.0
1974,6,6.0,1,2.0,10.0,Mumbai,29272000.0
2262,3,,3,1.0,26.0,Bangalore,13539000.0
1912,3,3.0,3,1.0,3.0,Hyderabad,11374000.0
1482,6,5.0,3,0.0,5.0,Delhi,15855000.0
966,1,1.0,1,0.0,15.0,Pune,6146000.0
1387,4,3.0,1,0.0,9.0,Delhi,17137000.0
1799,2,1.0,2,3.0,4.0,Bangalore,10945000.0
1097,1,1.0,2,1.0,,Pune,9139000.0
1053,2,1.0,1,1.0,0.0,Delhi,8410000.0
2317,4,4.0,1,2.0,2.0,Bangalore,14693000.0
3399,6,6.0,1,1.0,5.0,Hyderabad,19764000.0
1688,3,3.0,2,0.0,0.0,Bangalore,11076000.0
1993,4,4.0,2,2.0,3.0,Bangalore,14023000.0
1231,4,3.0,3,1.0,18.0,Pune,10567000.0
1600,5,,3,3.0,7.0,Mumbai,26072000.0
1269,5,4.0,2,0.0,7.0,Mumbai,21991000.0
969,3,3.0,1,0.0,1.0,Pune,7982000.0
1703,4,3.0,1,0.0,3.0,Mumbai,25354000.0
1074,3,2.0,3,1.0,,Hyderabad,5589000.0
937,4,3.0,2,1.0,5.0,Delhi,10953000.0
1925,4,4.0,1,2.0,10.0,Delhi,21243000.0
400,4,4.0,3,1.0,14.0,Pune,3997000.0
2974,3,2.0,1,0.0,0.0,Chennai,18757000.0
2090,3,3.0,3,1.0,8.0,Delhi,24391000.0
2795,3,3.0,3,2.0,8.0,Bangalore,18204000.0
857,5,4.0,3,1.0,5.0,Bangalore,6685000.0
2420,3,3.0,3,2.0,0.0,Hyderabad,13973000.0
1209,5,5.0,2,1.0,4.0,Bangalore,9133000.0
1999,5,4.0,3,2.0,0.0,Chennai,12998000.0
1907,2,2.0,3,2.0,3.0,Pune,11752000.0
1015,2,2.0,1,0.0,7.0,Chennai,6588000.0
908,2,2.0,3,1.0,4.0,Mumbai,13373000.0
1074,4,4.0,3,0.0,3.0,Pune,8699000.0
2148,5,4.0,1,1.0,16.0,Mumbai,31349000.0
1166,6,5.0,3,0.0,1.0,Delhi,13814000.0
1827,3,3.0,3,0.0,8.0,Hyderabad,9745000.0
1319,3,3.0,2,2.0,0.0,Hyderabad,8438000.0
1624,3,2.0,2,0.0,8.0,Chennai,9031000.0
863,4,3.0,2,1.0,,Hyderabad,4309000.0
1386,3,2.0,3,0.0,13.0,Chennai,9433000.0
1370,4,3.0,3,1.0,16.0,Chennai,8954000.0
843,6,5.0,3,4.0,1.0,Pune,7111000.0
1623,3,3.0,2,4.0,1.0,Chennai,9958000.0
1846,3,3.0,1,0.0,7.0,Pune,12452000.0
1014,6,5.0,2,2.0,10.0,Bangalore,7073000.0
904,5,4.0,1,0.0,20.0,Mumbai,18786000.0
1111,3,2.0,1,0.0,5.0,Mumbai,15804000.0
447,2,2.0,1,1.0,5.0,Mumbai,6994000.0
1997,3,2.0,2,2.0,2.0,Delhi,20996000.0
2034,5,4.0,2,0.0,3.0,Mumbai,29775000.0
1914,3,3.0,3,,7.0,Pune,13312000.0
2532,6,6.0,1,3.0,8.0,Delhi,27532000.0
528,2,1.0,1,2.0,,Mumbai,8466000.0
1536,3,3.0,2,4.0,1.0,Chennai,10657000.0
1147,3,3.0,3,2.0,5.0,Delhi,13112000.0
623,2,2.0,1,0.0,2.0,Delhi,6533000.0
1888,4,4.0,1,4.0,1.0,Chennai,13012000.0
876,6,6.0,3,1.0,3.0,Hyderabad,6668000.0
1084,1,1.0,2,1.0,10.0,Pune,7854000.0
1802,5,4.0,3,1.0,4.0,Chennai,10469000.0
1588,4,4.0,3,0.0,12.0,Pune,11711000.0
1641,3,3.0,1,1.0,0.0,Bangalore,9657000.0
951,4,4.0,1,1.0,8.0,Mumbai,14475000.0
400,1,1.0,2,1.0,2.0,Hyderabad,2748000.0
1019,4,3.0,3,1.0,4.0,Chennai,6659000.0
1143,3,3.0,1,,1.0,Bangalore,7246000.0
1600,4,4.0,2,1.0,0.0,Hyderabad,9678000.0
1899,5,4.0,1,2.0,0.0,Mumbai,34755000.0
1549,3,2.0,1,1.0,7.0,Hyderabad,8089000.0
748,4,3.0,3,0.0,32.0,Chennai,5006000.0
792,3,3.0,1,0.0,13.0,Pune,5979000.0
1267,4,3.0,3,2.0,1.0,Hyderabad,7871000.0
1406,3,3.0,3,0.0,2.0,Mumbai,24060000.0
1803,5,5.0,2,0.0,10.0,Mumbai,32944000.0
1022,4,3.0,2,2.0,13.0,Delhi,11894000.0
2349,4,3.0,3,0.0,2.0,Mumbai,35133000.0
551,2,2.0,1,0.0,0.0,Hyderabad,3276000.0
2497,4,3.0,2,1.0,2.0,Pune,18560000.0
1334,6,6.0,3,3.0,0.0,Bangalore,10561000.0
785,3,3.0,1,3.0,7.0,Hyderabad,5464000.0
1181,2,2.0,3,2.0,7.0,Delhi,11267000.0
1443,1,1.0,3,2.0,0.0,Hyderabad,6809000.0
1132,4,3.0,3,1.0,17.0,Delhi,12468000.0
2105,5,4.0,3,0.0,5.0,Mumbai,31870000.0
1180,4,4.0,3,2.0,0.0,Delhi,13521000.0
2043,3,2.0,1,2.0,1.0,Mumbai,32414000.0
1726,2,1.0,1,0.0,16.0,Bangalore,11542000.0
1063,6,6.0,1,2.0,0.0,Pune,7599000.0
1661,3,2.0,1,0.0,21.0,Chennai,10476000.0
1030,3,2.0,3,1.0,3.0,Hyderabad,5861000.0
1634,5,5.0,1,1.0,5.0,Pune,11801000.0
1408,5,5.0,1,1.0,5.0,Pune,10176000.0
880,3,2.0,3,3.0,17.0,Pune,7093000.0
1450,5,5.0,2,2.0,2.0,Delhi,18644000.0
1258,2,1.0,3,1.0,6.0,Hyderabad,7317000.0
747,2,2.0,1,1.0,2.0,Mumbai,12303000.0
2115,4,4.0,1,0.0,1.0,Delhi,22593000.0
1709,3,2.0,1,0.0,17.0,Chennai,9954000.0
1302,6,6.0,3,0.0,11.0,Delhi,15479000.0
1531,4,4.0,1,1.0,5.0,Hyderabad,8538000.0
1301,2,1.0,1,0.0,2.0,Hyderabad,7039000.0
1133,5,5.0,2,1.0,4.0,Hyderabad,7634000.0
1269,6,5.0,2,0.0,0.0,Delhi,15254000.0
770,4,4.0,1,0.0,2.0,Hyderabad,5969000.0
2123,4,3.0,1,1.0,3.0,Pune,15057000.0
1601,3,3.0,1,1.0,7.0,Pune,10610000.0
1415,2,1.0,1,0.0,9.0,Hyderabad,8352000.0
2243,4,3.0,2,1.0,22.0,Bangalore,16886000.0
1090,2,1.0,3,2.0,8.0,Delhi,12811000.0
595,3,3.0,3,2.0,6.0,Chennai,4554000.0
1164,6,6.0,1,1.0,13.0,Bangalore,8496000.0
2130,6,,1,1.0,2.0,Chennai,13549000.0
598,5,5.0,1,1.0,0.0,Delhi,8035000.0
1711,6,6.0,1,0.0,6.0,Bangalore,13130000.0
912,4,3.0,2,1.0,2.0,Chennai,5863000.0
1718,5,5.0,1,0.0,18.0,Bangalore,12785000.0
2567,4,4.0,1,3.0,2.0,Bangalore,15297000.0
1074,2,1.0,1,0.0,14.0,Mumbai,15914000.0
925,3,3.0,2,0.0,0.0,Chennai,6642000.0
1574,5,5.0,1,0.0,2.0,Pune,12462000.0
2089,6,5.0,2,1.0,5.0,Hyderabad,14392000.0
1369,2,1.0,3,1.0,11.0,Pune,10036000.0
2663,4,4.0,3,1.0,14.0,Pune,19902000.0
1073,6,5.0,2,0.0,3.0,Mumbai,17421000.0
1230,2,1.0,2,2.0,29.0,Pune,8546000.0
1299,4,4.0,3,1.0,7.0,Chennai,7813000.0
1861,2,1.0,2,0.0,7.0,Bangalore,13511000.0
1143,3,3.0,2,0.0,4.0,Hyderabad,7612000.0
2400,4,4.0,3,0.0,5.0,Delhi,28954000.0
1841,6,6.0,1,2.0,0.0,Hyderabad,11407000.0
1606,3,2.0,3,1.0,1.0,Mumbai,25707000.0
1479,2,1.0,3,1.0,2.0,Bangalore,10784000.0
1588,3,3.0,1,0.0,3.0,Bangalore,8810000.0
1031,2,2.0,1,1.0,1.0,Hyderabad,6159000.0
2192,3,2.0,2,1.0,10.0,Mumbai,37408000.0
1641,3,3.0,1,0.0,3.0,Hyderabad,9049000.0
1247,4,4.0,3,1.0,0.0,Bangalore,8639000.0
1229,2,1.0,2,1.0,0.0,Chennai,6826000.0
1348,2,2.0,3,3.0,0.0,Hyderabad,8569000.0
1645,4,4.0,1,1.0,3.0,Pune,12996000.0
1364,4,3.0,3,1.0,3.0,Delhi,14161000.0
1153,1,1.0,2,1.0,3.0,Chennai,6241000.0
1102,4,4.0,1,1.0,,Chennai,7027000.0
2406,6,6.0,3,2.0,2.0,Delhi,23689000.0
2336,4,3.0,1,2.0,6.0,Mumbai,37395000.0
1116,4,4.0,1,2.0,0.0,Delhi,14114000.0
400,2,2.0,2,1.0,12.0,Mumbai,6636000.0
1756,6,5.0,3,0.0,0.0,Bangalore,12230000.0
1781,4,3.0,1,1.0,2.0,Pune,13051000.0
2884,6,5.0,1,2.0,15.0,Chennai,15963000.0
1467,3,2.0,1,1.0,3.0,Bangalore,11462000.0
1342,3,2.0,2,3.0,7.0,Pune,9838000.0
2208,3,3.0,2,2.0,4.0,Delhi,21093000.0
898,5,4.0,3,1.0,,Chennai,5494000.0
1681,4,4.0,2,2.0,2.0,Mumbai,26952000.0
2317,2,1.0,1,2.0,7.0,Bangalore,12065000.0
776,6,6.0,2,2.0,20.0,Pune,6902000.0
1134,5,4.0,1,0.0,2.0,Bangalore,8195000.0
2729,4,3.0,1,2.0,7.0,Hyderabad,15433000.0
1088,2,2.0,3,1.0,2.0,Delhi,11495000.0
2388,5,5.0,2,3.0,5.0,Pune,17375000.0
2717,1,1.0,2,1.0,4.0,Mumbai,46378000.0
1442,5,4.0,1,0.0,10.0,Bangalore,10354000.0
1356,2,2.0,3,2.0,1.0,Chennai,8278000.0
400,6,5.0,1,1.0,0.0,Chennai,3825000.0
2852,2,1.0,2,0.0,4.0,Hyderabad,16426000.0
1634,3,2.0,1,1.0,4.0,Hyderabad,8564000.0
938,2,2.0,3,0.0,5.0,Hyderabad,5585000.0
1487,4,4.0,3,0.0,9.0,Chennai,9784000.0
400,2,2.0,3,4.0,0.0,Delhi,5099000.0
1505,2,1.0,2,0.0,2.0,Pune,11551000.0
1003,5,4.0,2,0.0,14.0,Hyderabad,6001000.0
1151,6,5.0,2,2.0,3.0,Pune,8854000.0
1187,3,2.0,2,0.0,1.0,Delhi,12162000.0
1785,6,6.0,3,2.0,18.0,Pune,12448000.0
1895,6,6.0,1,2.0,20.0,Pune,15219000.0
1078,6,6.0,2,3.0,8.0,Mumbai,17860000.0
1828,5,5.0,1,0.0,11.0,Hyderabad,11368000.0
1147,2,2.0,3,1.0,5.0,Hyderabad,6398000.0
2446,2,2.0,2,0.0,2.0,Bangalore,15745000.0
2238,6,5.0,2,2.0,8.0,Chennai,16037000.0
1132,3,2.0,1,1.0,1.0,Bangalore,8231000.0
1906,5,4.0,1,0.0,1.0,Hyderabad,12734000.0
1377,2,1.0,1,0.0,11.0,Delhi,14425000.0
1902,1,1.0,1,1.0,15.0,Delhi,20069000.0
1391,2,1.0,3,0.0,8.0,Chennai,8510000.0
1453,4,4.0,2,0.0,14.0,Bangalore,9400000.0
1884,5,4.0,3,1.0,9.0,Hyderabad,11867000.0
1213,5,5.0,3,1.0,3.0,Chennai,8448000.0
1323,4,3.0,1,0.0,26.0,Chennai,7744000.0
1354,3,2.0,3,1.0,8.0,Delhi,14890000.0
1615,4,4.0,1,2.0,15.0,Pune,10588000.0
1035,4,3.0,2,1.0,1.0,Delhi,10584000.0
1957,1,1.0,3,1.0,8.0,Delhi,24410000.0
1326,4,3.0,2,3.0,11.0,Delhi,14436000.0
1506,5,4.0,3,1.0,1.0,Chennai,8338000.0
1630,6,5.0,1,1.0,8.0,Delhi,15465000.0
1466,6,6.0,2,3.0,1.0,Hyderabad,8898000.0
1232,2,1.0,2,0.0,3.0,Delhi,12384000.0
592,1,1.0,3,1.0,15.0,Bangalore,3900000.0
1550,2,2.0,3,0.0,9.0,Hyderabad,7732000.0
2468,6,6.0,3,1.0,16.0,Mumbai,39583000.0
2155,2,1.0,3,0.0,37.0,Mumbai,33453000.0
1791,2,1.0,1,0.0,3.0,Chennai,10378000.0
779,1,1.0,3,2.0,20.0,Hyderabad,4657000.0
1190,3,2.0,2,0.0,3.0,Delhi,13324000.0
1650,1,1.0,2,1.0,4.0,Pune,12758000.0
1522,6,5.0,2,0.0,10.0,Hyderabad,9215000.0
2368,3,2.0,2,0.0,0.0,Mumbai,41711000.0
2088,2,1.0,1,0.0,12.0,Chennai,13636000.0
1322,6,6.0,2,1.0,8.0,Chennai,9192000.0
1575,4,3.0,3,0.0,5.0,Mumbai,24207000.0
2022,2,1.0,1,4.0,1.0,Hyderabad,11234000.0
1558,3,2.0,2,2.0,5.0,Bangalore,11211000.0
1506,6,6.0,1,1.0,14.0,Bangalore,11174000.0
1288,2,2.0,1,1.0,10.0,Mumbai,23358000.0
1331,5,5.0,1,0.0,6.0,Delhi,13115000.0
1190,3,3.0,1,2.0,7.0,Hyderabad,7695000.0
2068,4,3.0,1,1.0,1.0,Bangalore,14029000.0
748,3,2.0,1,0.0,26.0,Hyderabad,4865000.0
795,6,6.0,3,0.0,18.0,Delhi,9133000.0
1522,3,3.0,2,1.0,1.0,Bangalore,9845000.0
1878,6,5.0,1,0.0,1.0,Mumbai,29849000.0
1396,2,1.0,1,0.0,1.0,Bangalore,7494000.0
1221,4,3.0,3,4.0,3.0,Hyderabad,8709000.0
829,1,1.0,1,1.0,0.0,Delhi,8413000.0
2530,6,6.0,1,1.0,3.0,Pune,17307000.0
1086,4,3.0,2,1.0,3.0,Bangalore,7438000.0
2097,3,3.0,1,1.0,8.0,Chennai,12585000.0
1752,4,4.0,3,0.0,1.0,Hyderabad,10550000.0
847,4,3.0,3,2.0,6.0,Chennai,5575000.0
2226,6,6.0,2,1.0,,Mumbai,36520000.0
2637,2,1.0,1,1.0,4.0,Delhi,32232000.0
1020,2,2.0,3,0.0,5.0,Hyderabad,5605000.0
1723,4,3.0,3,0.0,14.0,Chennai,11185000.0
1310,2,1.0,3,1.0,9.0,Mumbai,15444000.0
1687,2,2.0,3,3.0,23.0,Hyderabad,10332000.0
1853,3,2.0,3,0.0,37.0,Hyderabad,8770000.0
1724,3,2.0,1,3.0,4.0,Pune,12010000.0
1172,5,5.0,2,1.0,3.0,Mumbai,21846000.0
1490,3,2.0,3,1.0,16.0,Chennai,8628000.0
1096,1,1.0,1,1.0,2.0,Chennai,6482000.0
1892,2,2.0,2,2.0,6.0,Pune,14027000.0
3127,1,1.0,1,0.0,3.0,Bangalore,21773000.0
540,6,5.0,3,2.0,2.0,Delhi,7319000.0
1598,3,2.0,1,1.0,13.0,Bangalore,10627000.0
714,4,3.0,2,3.0,1.0,Hyderabad,4702000.0
1461,2,2.0,2,2.0,8.0,Hyderabad,8247000.0
1557,5,4.0,2,2.0,9.0,Bangalore,11088000.0
797,5,4.0,3,1.0,0.0,Chennai,6758000.0
400,3,3.0,2,1.0,4.0,Mumbai,6961000.0
2161,3,3.0,1,1.0,7.0,Pune,15129000.0
2201,6,5.0,2,0.0,8.0,Chennai,13780000.0
1605,3,3.0,2,1.0,2.0,Delhi,19884000.0
1763,3,2.0,2,0.0,36.0,Bangalore,12383000.0
1788,4,4.0,3,1.0,4.0,Pune,11769000.0
493,2,1.0,3,3.0,12.0,Mumbai,8536000.0
1231,5,5.0,3,1.0,0.0,Delhi,10923000.0
1852,5,5.0,3,0.0,1.0,Bangalore,11496000.0
1257,3,3.0,3,2.0,8.0,Chennai,7907000.0
1152,5,5.0,1,2.0,4.0,Pune,8901000.0
1852,2,1.0,3,0.0,13.0,Hyderabad,9393000.0
1629,3,3.0,3,0.0,5.0,Hyderabad,9967000.0
1342,5,5.0,3,0.0,5.0,Delhi,16077000.0
1824,6,5.0,2,0.0,1.0,Pune,14118000.0
1294,6,5.0,1,0.0,1.0,Hyderabad,8094000.0
2306,5,4.0,1,3.0,3.0,Hyderabad,14477000.0
1955,2,2.0,1,3.0,5.0,Bangalore,13281000.0
2265,3,3.0,3,0.0,2.0,Mumbai,33420000.0
1751,4,4.0,3,1.0,8.0,Chennai,10283000.0
1395,6,5.0,2,1.0,32.0,Chennai,8405000.0
1970,6,6.0,1,1.0,14.0,Hyderabad,12090000.0
1067,2,1.0,3,1.0,8.0,Pune,7988000.0
915,4,3.0,2,1.0,0.0,Delhi,9906000.0
1258,5,5.0,2,0.0,21.0,Delhi,15986000.0
1505,2,1.0,3,1.0,9.0,Mumbai,24533000.0
495,2,2.0,3,1.0,7.0,Pune,3974000.0
1814,3,2.0,1,0.0,12.0,Mumbai,26890000.0
1756,3,3.0,2,1.0,7.0,Mumbai,25350000.0
1721,3,3.0,3,1.0,26.0,Chennai,9811000.0
1363,6,6.0,1,0.0,4.0,Delhi,15066000.0
1293,4,3.0,2,1.0,3.0,Bangalore,9073000.0
2309,1,1.0,2,1.0,16.0,Hyderabad,11056000.0
870,2,1.0,3,4.0,0.0,Chennai,5409000.0
1440,4,3.0,2,2.0,3.0,Delhi,14087000.0
2096,3,,2,0.0,8.0,Chennai,12346000.0
959,5,5.0,1,0.0,0.0,Chennai,6820000.0
1223,5,4.0,2,1.0,0.0,Mumbai,19837000.0
1792,5,,3,1.0,5.0,Pune,14256000.0
1725,3,2.0,2,1.0,0.0,Chennai,10054000.0
505,3,2.0,2,1.0,20.0,Delhi,5499000.0
1115,4,3.0,2,1.0,2.0,Bangalore,7876000.0
2324,2,2.0,2,1.0,10.0,Hyderabad,12389000.0
1099,6,6.0,1,1.0,13.0,Delhi,11254000.0
811,3,2.0,3,1.0,3.0,Chennai,5538000.0
2190,3,2.0,3,1.0,,Hyderabad,12218000.0
2112,3,3.0,2,3.0,3.0,Mumbai,35509000.0
1591,1,1.0,3,4.0,0.0,Hyderabad,8802000.0
2005,2,1.0,2,1.0,9.0,Chennai,11336000.0
1768,4,4.0,1,0.0,7.0,Delhi,17786000.0
2304,2,1.0,3,4.0,1.0,Pune,18666000.0
1356,6,6.0,1,1.0,1.0,Hyderabad,9464000.0
424,3,2.0,2,0.0,19.0,Bangalore,3006000.0
2103,2,1.0,1,0.0,0.0,Chennai,12328000.0
1824,3,2.0,1,2.0,0.0,Mumbai,28249000.0
1971,2,1.0,2,1.0,6.0,Hyderabad,8243000.0
1011,4,4.0,3,1.0,12.0,Bangalore,6782000.0
2047,2,1.0,3,1.0,6.0,Mumbai,30854000.0
1731,6,5.0,3,1.0,5.0,Mumbai,31960000.0
1514,2,1.0,2,1.0,8.0,Pune,11085000.0
991,3,3.0,3,0.0,12.0,Hyderabad,5395000.0
873,1,1.0,1,1.0,3.0,Hyderabad,5528000.0
1255,4,3.0,2,1.0,0.0,Pune,9917000.0
1096,3,3.0,1,0.0,8.0,Pune,7154000.0
1990,3,3.0,2,2.0,1.0,Chennai,11845000.0
1730,4,4.0,3,1.0,10.0,Hyderabad,9990000.0
1091,3,3.0,1,1.0,11.0,Pune,8164000.0
626,3,2.0,2,2.0,10.0,Pune,4761000.0
1102,4,4.0,2,0.0,5.0,Bangalore,8155000.0
1786,4,4.0,3,2.0,6.0,Pune,13047000.0
1304,4,4.0,1,1.0,3.0,Bangalore,8994000.0
1130,6,6.0,3,0.0,32.0,Hyderabad,6801000.0
1495,2,2.0,2,2.0,6.0,Chennai,7601000.0
1580,3,3.0,3,0.0,6.0,Chennai,9309000.0
1626,4,3.0,3,2.0,8.0,Delhi,16971000.0
1149,2,1.0,2,0.0,6.0,Bangalore,8216000.0
413,4,4.0,2,1.0,5.0,Hyderabad,3196000.0
1859,6,5.0,2,0.0,37.0,Mumbai,32924000.0
1079,4,4.0,1,1.0,3.0,Mumbai,17240000.0
1332,3,3.0,2,2.0,7.0,Mumbai,18341000.0
2701,5,4.0,3,0.0,6.0,Bangalore,19842000.0
1665,3,3.0,2,3.0,2.0,Mumbai,22883000.0
902,4,4.0,1,0.0,15.0,Bangalore,5953000.0
1058,4,4.0,3,2.0,19.0,Chennai,5932000.0
2815,2,1.0,1,1.0,5.0,Delhi,27634000.0
1665,5,4.0,1,1.0,1.0,Mumbai,28138000.0
713,1,1.0,3,1.0,3.0,Bangalore,5205000.0
959,2,1.0,3,2.0,1.0,Hyderabad,5990000.0
1328,3,2.0,1,4.0,3.0,Delhi,16554000.0
1911,3,2.0,1,1.0,1.0,Pune,12414000.0
1284,4,4.0,1,3.0,3.0,Bangalore,8180000.0
1612,5,4.0,1,1.0,1.0,Delhi,16937000.0
2442,2,2.0,3,1.0,0.0,Delhi,24145000.0
1768,4,4.0,1,0.0,0.0,Chennai,10265000.0
1542,2,1.0,3,2.0,15.0,Pune,10492000.0
1436,4,,2,0.0,16.0,Chennai,8169000.0
488,3,3.0,1,1.0,0.0,Pune,4547000.0
1686,4,4.0,1,1.0,8.0,Bangalore,11672000.0
961,4,4.0,2,1.0,12.0,Mumbai,18487000.0
1341,6,6.0,2,0.0,1.0,Chennai,8715000.0
1384,3,2.0,3,1.0,1.0,Bangalore,7744000.0
1400,2,2.0,1,3.0,29.0,Chennai,8019000.0
2244,3,,2,2.0,14.0,Hyderabad,13647000.0
673,6,6.0,3,1.0,0.0,Hyderabad,5601000.0
1484,2,2.0,1,2.0,3.0,Pune,9526000.0
1553,6,6.0,2,0.0,5.0,Delhi,16989000.0
1250,5,5.0,3,1.0,5.0,Bangalore,8961000.0
1281,2,2.0,2,0.0,7.0,Hyderabad,6225000.0
2254,6,6.0,2,1.0,6.0,Hyderabad,12623000.0
1812,4,4.0,3,1.0,5.0,Bangalore,11487000.0
1881,5,5.0,2,0.0,2.0,Mumbai,33529000.0
1450,4,3.0,3,1.0,2.0,Chennai,8661000.0
2239,6,6.0,1,1.0,15.0,Pune,16774000.0
1017,5,4.0,3,1.0,0.0,Hyderabad,6647000.0
878,6,6.0,2,0.0,2.0,Delhi,10731000.0
1451,2,1.0,3,2.0,19.0,Pune,9837000.0
634,3,2.0,2,3.0,5.0,Mumbai,11723000.0
1079,3,2.0,1,0.0,6.0,Hyderabad,6914000.0
1056,4,4.0,1,2.0,31.0,Pune,7502000.0
703,5,5.0,2,1.0,13.0,Chennai,5297000.0
1596,3,3.0,2,1.0,0.0,Hyderabad,10249000.0
1578,3,2.0,3,3.0,7.0,Mumbai,28208000.0
2163,2,1.0,2,0.0,1.0,Bangalore,12094000.0
1234,3,3.0,2,3.0,8.0,Hyderabad,8132000.0
1039,3,2.0,3,3.0,20.0,Chennai,6396000.0
2560,1,1.0,3,2.0,16.0,Pune,19295000.0
1836,3,2.0,1,1.0,5.0,Pune,13398000.0
1370,2,2.0,2,0.0,4.0,Mumbai,23246000.0
1315,3,2.0,2,1.0,0.0,Mumbai,22038000.0
1966,3,2.0,2,1.0,3.0,Bangalore,13173000.0
1915,3,3.0,2,1.0,1.0,Mumbai,31124000.0
2520,5,,3,1.0,9.0,Delhi,29304000.0
1504,4,4.0,3,2.0,2.0,Mumbai,19671000.0
1431,6,6.0,2,1.0,5.0,Chennai,9115000.0
1780,2,1.0,3,1.0,4.0,Pune,11730000.0
1763,3,3.0,1,0.0,1.0,Delhi,17267000.0
1910,3,2.0,2,1.0,4.0,Mumbai,23271000.0
1814,1,1.0,2,0.0,7.0,Pune,11829000.0
1125,5,,2,0.0,5.0,Bangalore,9687000.0
1126,4,4.0,1,0.0,0.0,Pune,8929000.0
1452,5,4.0,3,2.0,2.0,Hyderabad,8465000.0
